filename,true_class,predicted_class,confidence,snr_db,cfo_hz,phase_deg,amplitude,sampling_frequency_hz,symbol_rate_hz,samples_per_symbol,roll_off,filter_span,timing_offset,frequency_placement_hz,num_components,mixed_components,prob_BPSK,prob_QPSK,prob_FSK,prob_QAM16,prob_MIXED
signal_00033_bpsk,BPSK,QPSK,0.8874132037162781,23.238269673512054,-37759.71568358413,186.88877330929375,1.4956951214768535,1200000,75000,16,0.38095427908790125,6,-0.3206733811308907,0.0,,,0.1116589680314064,0.8874132037162781,0.000805249554105103,0.00012243719538673759,1.299477787597425e-07
signal_00044_bpsk,BPSK,QPSK,0.7130159139633179,22.333562490546424,-9810.579548104259,210.35240324797445,1.499116291210623,1200000,75000,16,0.3626440243429022,6,0.2876904140668441,0.0,,,0.2850436866283417,0.7130159139633179,0.0015909770736470819,0.00034770186175592244,1.7045201730070403e-06
signal_00142_bpsk,BPSK,QAM16,0.9585720896720886,13.57065576655786,45562.57867195945,17.273863329003976,1.2288935449950842,1000000,50000,20,0.2932928200758195,8,0.08227503091154559,0.0,,,0.021248189732432365,0.01967058889567852,0.00037905859062448144,0.9585720896720886,0.00013011228293180466
signal_00246_bpsk,BPSK,QPSK,0.8739122152328491,15.859233775566038,-8429.885278326685,313.157559141263,0.9172829736070266,1200000,150000,8,0.39094824258337,4,0.3927713925291027,0.0,,,0.1136939525604248,0.8739122152328491,0.012258131988346577,0.0001331386883975938,2.6173954665864585e-06
signal_00265_bpsk,BPSK,QPSK,0.644985020160675,28.85827530093664,45342.74520451826,54.33608755263839,1.4677200092759501,1000000,50000,20,0.35129935004465795,4,-0.4493984890274594,0.0,,,0.34600621461868286,0.644985020160675,0.007567798253148794,0.0013855559518560767,5.546226384467445e-05
signal_00298_bpsk,BPSK,QPSK,0.7431681752204895,11.459454205558782,8432.102532470257,334.13304128722837,1.3230935306035954,1200000,150000,8,0.38502847549727326,8,0.18863571623791447,0.0,,,0.252022922039032,0.7431681752204895,0.00460952939465642,0.00019813979452010244,1.1842246294690995e-06
signal_00519_bpsk,BPSK,FSK,0.470952570438385,1.0822274643115837,45953.856657228316,229.06850817105538,1.249194085162864,1200000,75000,16,0.3034663939907194,6,-0.3868096145809819,0.0,,,0.32886192202568054,0.19922658801078796,0.470952570438385,0.0009216872858814895,3.721691609825939e-05
signal_00589_bpsk,BPSK,QPSK,0.3314410150051117,1.7062270562581905,47426.627045215835,184.75518224432545,0.5765321001788418,1000000,200000,5,0.32124496449920104,6,-0.02701688273142966,0.0,,,0.23976054787635803,0.3314410150051117,0.12798970937728882,0.3006386458873749,0.00017007769201882184
signal_00655_bpsk,BPSK,QPSK,0.781441867351532,19.7422423307117,8123.410358700297,224.02853657436148,1.1775944140343624,1200000,150000,8,0.36538203614190273,6,-0.3001340249203115,0.0,,,0.21650628745555878,0.781441867351532,0.0017593435477465391,0.000291009055217728,1.5074365364853293e-06
signal_00675_bpsk,BPSK,QPSK,0.5696560740470886,12.152569892664854,46124.82468288964,90.84507457429132,0.5633239616193303,1000000,50000,20,0.36576361032698035,8,-0.39775129989895913,0.0,,,0.39599481225013733,0.5696560740470886,0.016249321401119232,0.00789678655564785,0.010203065350651741
signal_00756_qpsk,QPSK,BPSK,0.9826558828353882,3.7262324516943455,-24869.316786495034,133.24200694707568,0.928655309506827,1000000,125000,8,0.22307286694691242,6,-0.23679557739552293,0.0,,,0.9826558828353882,0.012881143018603325,0.003982698544859886,0.0004756694252137095,4.574362719722558e-06
signal_00768_qpsk,QPSK,BPSK,0.9781168699264526,26.26304597941896,37196.590558404,12.418978254482838,1.2072711232817837,1000000,50000,20,0.30799918675822646,6,0.04684530964835132,0.0,,,0.9781168699264526,0.02043474093079567,8.830604201648384e-06,0.0014393272576853633,2.3391109493786644e-07
signal_00785_qpsk,QPSK,BPSK,0.9820788502693176,5.944984629028226,24207.956396595167,130.92025032319015,0.6412509127563443,1000000,50000,20,0.29575280064198445,6,0.28270332795285863,0.0,,,0.9820788502693176,0.01742599904537201,0.0001300809672102332,0.00036448618629947305,5.29833641849109e-07
signal_00786_qpsk,QPSK,FSK,0.90809565782547,28.281747425285218,27336.541777649574,199.533953888835,0.5898953564865937,1200000,150000,8,0.4292686933288624,6,0.391077492721093,0.0,,,3.4726952435448766e-05,0.09186650812625885,0.90809565782547,2.8351435048534768e-06,2.492157022970787e-07
signal_00792_qpsk,QPSK,MIXED,0.30172812938690186,2.6476370735485597,-47466.88944930899,141.5770130995379,0.6220307679883689,1000000,50000,20,0.39300106661253814,6,-0.25729649468219695,0.0,,,0.26639047265052795,0.22195105254650116,0.18594932556152344,0.023980971425771713,0.30172812938690186
signal_00795_qpsk,QPSK,BPSK,0.7703042030334473,5.409306386170049,21814.018956980784,51.13305993225461,0.7544441813025923,1000000,100000,10,0.20623625681908525,6,-0.09224373714501,0.0,,,0.7703042030334473,0.22590400278568268,0.002374848583713174,0.0014156135730445385,1.3389164905674988e-06
signal_00822_qpsk,QPSK,FSK,0.8347824811935425,4.749127867298549,6210.747864059929,237.37638323077059,0.679571952238541,1200000,75000,16,0.4179169059332878,6,-0.18535000121391532,0.0,,,0.0012438097037374973,0.1639704406261444,0.8347824811935425,2.706575969568803e-06,6.232804139472137e-07
